"UnitName"	"UnitType"	"Stimulus"	"StimNumber"	"isi.sec"	"Zoom"
"SC-17-1"	"Joint"	"sadness"	3	0.13	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.119	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.16	"201.3"
"SC-17-1"	"Joint"	"sadness"	4	0.125	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.044	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.042	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.044	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.053	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.056	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.059	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.063	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.056	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.058	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.053	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.058	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.058	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.06	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.061	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.062	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.065	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.063	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.064	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.063	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.06	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.057	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.059	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.061	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.056	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.051	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.058	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.054	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.078	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.076	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.07	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.07	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.065	"201.4"
"SC-17-1"	"Joint"	"sadness"	4	0.074	"201.4"
