Spike.time.sec	Comment.time.sec	Comment	UnitName	UnitType	StimNumber	Stimulus	isi.sec
38.00735	36.43	calming	SC-13-2	HFA	4	calming	0.026250000000004547
38.0721	36.43	calming	SC-13-2	HFA	4	calming	0.06474999999999653
38.16765	36.43	calming	SC-13-2	HFA	4	calming	0.09555000000000291
38.19795	36.43	calming	SC-13-2	HFA	4	calming	0.030299999999996885
38.247	36.43	calming	SC-13-2	HFA	4	calming	0.04905000000000115
38.3524	36.43	calming	SC-13-2	HFA	4	calming	0.10540000000000305
38.3559	36.43	calming	SC-13-2	HFA	4	calming	0.0034999999999953957
38.5715	36.43	calming	SC-13-2	HFA	4	calming	0.215600000000002
38.73045	36.43	calming	SC-13-2	HFA	4	calming	0.15894999999999726
38.78445	36.43	calming	SC-13-2	HFA	4	calming	0.054000000000002046
38.8211	36.43	calming	SC-13-2	HFA	4	calming	0.036650000000001626
38.85545	36.43	calming	SC-13-2	HFA	4	calming	0.03434999999999633
38.9003	36.43	calming	SC-13-2	HFA	4	calming	0.04485000000000383
38.97475	36.43	calming	SC-13-2	HFA	4	calming	0.0744499999999988
38.9982	36.43	calming	SC-13-2	HFA	4	calming	0.023449999999996862
39.01535	36.43	calming	SC-13-2	HFA	4	calming	0.017150000000000887
39.0554	36.43	calming	SC-13-2	HFA	4	calming	0.04005000000000081
39.0937	36.43	calming	SC-13-2	HFA	4	calming	0.03829999999999956
39.17245	36.43	calming	SC-13-2	HFA	4	calming	0.07874999999999943
39.3753	36.43	calming	SC-13-2	HFA	4	calming	0.20285000000000508
39.53695	36.43	calming	SC-13-2	HFA	4	calming	0.16164999999999452
39.7678	36.43	calming	SC-13-2	HFA	4	calming	0.23085000000000377
39.884	36.43	calming	SC-13-2	HFA	4	calming	0.11619999999999919
39.905	36.43	calming	SC-13-2	HFA	4	calming	0.021000000000000796
39.9489	36.43	calming	SC-13-2	HFA	4	calming	0.043900000000000716
40.06095	36.43	calming	SC-13-2	HFA	4	calming	0.11204999999999643
40.12075	36.43	calming	SC-13-2	HFA	4	calming	0.05980000000000274
40.21725	36.43	calming	SC-13-2	HFA	4	calming	0.09649999999999892
40.30015	36.43	calming	SC-13-2	HFA	4	calming	0.0829000000000022
40.44765	36.43	calming	SC-13-2	HFA	4	calming	0.14750000000000085
40.46125	36.43	calming	SC-13-2	HFA	4	calming	0.013599999999996726
40.4772	36.43	calming	SC-13-2	HFA	4	calming	0.015950000000003683
40.50465	36.43	calming	SC-13-2	HFA	4	calming	0.027449999999994645
40.51765	36.43	calming	SC-13-2	HFA	4	calming	0.01300000000000523
40.52385	36.43	calming	SC-13-2	HFA	4	calming	0.006199999999999761
40.5576	36.43	calming	SC-13-2	HFA	4	calming	0.033749999999997726
40.5716	36.43	calming	SC-13-2	HFA	4	calming	0.013999999999995794
40.57815	36.43	calming	SC-13-2	HFA	4	calming	0.006550000000004275
40.58865	36.43	calming	SC-13-2	HFA	4	calming	0.010500000000000398
40.60025	36.43	calming	SC-13-2	HFA	4	calming	0.011600000000001387
40.60655	36.43	calming	SC-13-2	HFA	4	calming	0.0062999999999959755
40.6219	36.43	calming	SC-13-2	HFA	4	calming	0.015349999999997976
40.6284	36.43	calming	SC-13-2	HFA	4	calming	0.006500000000002615
40.65895	36.43	calming	SC-13-2	HFA	4	calming	0.03054999999999808
40.6731	36.43	calming	SC-13-2	HFA	4	calming	0.014150000000000773
40.70925	36.43	calming	SC-13-2	HFA	4	calming	0.03614999999999924
40.72505	36.43	calming	SC-13-2	HFA	4	calming	0.01580000000000581
40.73675	36.43	calming	SC-13-2	HFA	4	calming	0.011699999999997601
40.7539	36.43	calming	SC-13-2	HFA	4	calming	0.017150000000000887
40.77655	36.43	calming	SC-13-2	HFA	4	calming	0.022649999999998727
40.8215	36.43	calming	SC-13-2	HFA	4	calming	0.044950000000000045
40.86145	36.43	calming	SC-13-2	HFA	4	calming	0.03994999999999749
40.877	36.43	calming	SC-13-2	HFA	4	calming	0.015550000000004616
40.8988	36.43	calming	SC-13-2	HFA	4	calming	0.02179999999999893
40.9223	36.43	calming	SC-13-2	HFA	4	calming	0.023499999999998522
40.93395	36.43	calming	SC-13-2	HFA	4	calming	0.011650000000003047
40.97675	36.43	calming	SC-13-2	HFA	4	calming	0.04279999999999973
41.02905	36.43	calming	SC-13-2	HFA	4	calming	0.05229999999999535
41.03315	36.43	calming	SC-13-2	HFA	4	calming	0.004100000000001103
41.12745	36.43	calming	SC-13-2	HFA	4	calming	0.09430000000000405
41.1842	36.43	calming	SC-13-2	HFA	4	calming	0.05674999999999386
41.22395	36.43	calming	SC-13-2	HFA	4	calming	0.03975000000000506
41.2465	36.43	calming	SC-13-2	HFA	4	calming	0.022549999999995407
41.31415	36.43	calming	SC-13-2	HFA	4	calming	0.06765000000000043
